0.917327,0.978076,0.900213,0.203563,-0.020000,-0.020000,0.757155
0.910572,0.974733,0.892607,0.219354,-0.020000,-0.020000,0.813272
0.997039,1.015798,0.971300,0.013183,-0.020000,-0.020000,0.144820
0.272800,0.020000,0.381571,0.652713,-0.020000,-0.020000,1.000000
0.951993,0.995521,0.967028,0.174028,-0.020000,0.020000,0.471951
0.934825,0.971974,0.928253,0.063812,0.020000,0.020000,0.091185
0.690394,0.849506,0.362264,0.166349,-0.020000,-0.020000,1.000000
0.914649,0.977322,0.899787,0.207829,-0.020000,-0.020000,0.759999
0.921979,0.980396,0.913841,0.209679,-0.020000,0.020000,0.740012
0.690394,0.849506,0.362264,0.166349,-0.020000,-0.020000,1.000000
0.907374,0.973081,0.883925,0.217003,-0.020000,-0.020000,0.824120
0.916828,0.977981,0.900698,0.204954,-0.020000,-0.020000,0.757627
-0.020000,0.537842,0.199007,1.020000,0.020000,0.020000,0.750000
0.912849,0.975499,0.890517,0.208946,-0.020000,-0.020000,0.795790
0.906050,0.972596,0.882353,0.217667,-0.020000,-0.020000,0.825477
0.916103,0.977672,0.899381,0.204946,-0.020000,-0.020000,0.758946
0.103803,0.142373,0.106464,0.806128,-0.020000,-0.020000,1.000000
0.804576,0.885464,0.609209,0.075635,0.020000,-0.020000,1.000000
0.442400,0.401875,0.109202,0.535055,-0.020000,-0.020000,1.000000
0.904936,0.955182,0.939059,0.231308,-0.020000,-0.020000,0.419805
0.911139,0.975436,0.891900,0.209650,-0.020000,-0.020000,0.781195
0.966654,0.978655,0.948279,0.061688,0.020000,0.020000,0.087965
0.951865,0.977005,0.974589,0.109020,-0.020000,-0.020000,0.000000
0.916114,0.977719,0.900222,0.206123,-0.020000,-0.020000,0.760253
