vx,vy,omega,theta,x,y,e_x,,0.5-x,P1 LHS,P1 RHS,,,"""-0.5-x","""-0.79<th","""th<-0.74",P2 LHS,"""0.184<ex","""ex<0.19",P2 RHS,,"""om>0","""vy<-0.3",P3 LHS,P3 RHS,,P1-2 LHS,P1-2 RHS,,"""-2<y<2","""-0.7869<th","""th<-0.747",P2 RHS,,isabove ystar=2?,,,,
3.322841381,-0.058465468,0.015775269,-0.811150536,17.64531191,-17.96606596,0.188062739,,-17.14531191,FALSE,TRUE,,,-18.14531191,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.310771007,-0.059355003,0.015064692,-0.803466447,18.77075144,-19.1844772,0.188194767,,-18.27075144,FALSE,TRUE,,,-19.27075144,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.298892239,-0.060240591,0.014257648,-0.796164203,19.90079879,-20.3904278,0.188335326,,-19.40079879,FALSE,TRUE,,,-20.40079879,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.287342889,-0.061113576,0.013367903,-0.789288085,21.03494309,-21.5844669,0.188481622,,-20.53494309,FALSE,TRUE,,,-21.53494309,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,,,,
3.276236473,-0.06196583,0.012410609,-0.782875141,22.17268899,-22.76723513,0.188631079,,-21.67268899,FALSE,TRUE,,,-22.67268899,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.265668441,-0.062789821,0.01140167,-0.776954673,23.3135599,-23.93944765,0.188781349,,-22.8135599,FALSE,TRUE,,,-23.8135599,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.255718979,-0.063578691,0.010357263,-0.771547986,24.45710201,-25.10187844,0.188930333,,-23.95710201,FALSE,TRUE,,,-24.95710201,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.246454083,-0.064326344,0.009293429,-0.766668366,25.60288828,-26.25534521,0.189076187,,-25.10288828,FALSE,TRUE,,,-26.10288828,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.237925869,-0.065027525,0.008225707,-0.762321239,26.75052168,-27.40069488,0.189217331,,-26.25052168,FALSE,TRUE,,,-27.25052168,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
3.230172629,-0.065677895,0.007168803,-0.758504513,27.89963756,-28.53878959,0.189352443,,-27.39963756,FALSE,TRUE,,,-28.39963756,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,
